date,btc_open_intraday,btc_close_intraday,btc_close_et,btc_prev_close_et,ret_close_close,ret_intraday,ret_overnight,rv_intraday,rv_overnight
2024-05-03,61344.01,61983.94,61983.94,59287.75,0.04447261129710786,0.010377789354028607,0.03409482194307925,0.00024946097493812525,0.0006841935084490862
2024-05-04,63634.46,63943.33,63943.33,61983.94,0.031121903118268745,0.0048420748387671365,0.026279828279501607,0.00014014000301998183,0.0004711007325680303
2024-05-05,64041.08,63864.74,63864.74,63943.33,-0.0012298129516426393,-0.0027573430470201627,0.0015275300953775234,0.0001561597421831255,0.0002319025547129749
2024-05-06,63558.13,63212.49,63212.49,63864.74,-0.010265501189473492,-0.005453012006669757,-0.004812489182803735,0.00031026423788414574,0.0005014271006885239
2024-05-07,63605.79,63015.88,63015.88,63212.49,-0.0031151500885981814,-0.009317745817310862,0.0062025957287126805,0.00019663454700103916,0.000410838333481594
2024-05-08,62062.0,62191.49,62191.49,63015.88,-0.01316858445631621,0.002084288286440072,-0.01525287274275628,0.00020989922197911601,0.00046194426998171086
2024-05-09,61414.22,62426.11,62426.11,62191.49,0.003765443680740789,0.01634221291528876,-0.012576769234547971,0.00020399122386765623,0.0003138075738534427
2024-05-10,62884.01,60637.44,60637.44,62426.11,-0.029071093261214258,-0.03637939426807615,0.007308301006861889,0.0004785114528801989,0.00024290579778649896
2024-05-11,60798.57,61134.01,61134.01,60637.44,0.008155815711145683,0.005502070836601326,0.0026537448745443566,9.519784281297756e-05,0.0001061240987774859
2024-05-12,61174.01,61422.87,61422.87,61134.01,0.004713901576037801,0.004059815254861144,0.0006540863211766572,8.390465904174184e-05,0.00019619758933021566
2024-05-13,62736.0,63125.01,63125.01,61422.87,0.027334804640027938,0.006181600461377215,0.02115320417865072,0.00020487959177974184,0.00038023355970467156
2024-05-14,62017.4,61594.25,61594.25,63125.01,-0.024548523984559825,-0.00684646880610203,-0.017702055178457795,0.00023853916716845956,0.0003795741772407511
2024-05-15,64187.21,65992.15,65992.15,61594.25,0.06896727353184244,0.027731825893696598,0.04123544763814584,0.0003310983061309446,0.0006806592835289433
2024-05-16,66036.63,65196.0,65196.0,65992.15,-0.012137678201249124,-0.012811470713500169,0.0006737925122510448,0.00023041288099185048,0.00023384615004890227
2024-05-17,66274.02,66920.01,66920.01,65196.0,0.026099908193383346,0.00970006035788547,0.016399847835497874,0.00018927367377397482,0.0001974513428481403
2024-05-18,67031.78,66891.6,66891.6,66920.01,-0.0004246268380878258,-0.0020934365783573227,0.001668809740269497,5.035739937711003e-05,0.00011099630615742189
2024-05-19,66801.07,66090.09,66090.09,66891.6,-0.012054587451856136,-0.010700287117559867,-0.0013543003342962687,9.451450937608559e-05,0.0002038553303711563
2024-05-20,67039.99,70334.21,70334.21,66090.09,0.06223949792442654,0.04796900217611368,0.014270495748312857,0.0003540957412152489,0.0005428953427057625
2024-05-21,70881.23,69255.98,69255.98,70334.21,-0.015448814055464978,-0.02319616428960921,0.007747350234144232,0.0002671714097149258,0.0002735320711412352
2024-05-22,69744.4,69686.87,69686.87,69255.98,0.006202426125041486,-0.0008252094851418574,0.007027635610183344,0.00026937206794716366,0.0002721359980499636
2024-05-23,69362.01,66592.04,66592.04,69686.87,-0.0454268703710322,-0.04075426040735373,-0.0046726099636784715,0.00041279090829972825,0.0006051468088577869
2024-05-24,67375.03,69146.02,69146.02,66592.04,0.03763544953295867,0.025946025918676882,0.01168942361428179,0.000181543767517321,0.00018559455099694813
2024-05-25,69232.41,69168.22,69168.22,69146.02,0.0003210081650396739,-0.000927597000138198,0.0012486051651778719,3.3791600937435266e-05,8.540257859256734e-05
2024-05-26,69035.99,68896.01,68896.01,69168.22,-0.003943242253545874,-0.0020296964889356265,-0.0019135457646102475,4.601456936071414e-05,0.00011760659279846339
2024-05-27,68770.01,69205.32,69205.32,68896.01,0.00447947195308224,0.006309989537353901,-0.0018305175842716608,0.0001881086347945341,0.0002514884674284909
2024-05-28,68350.01,68430.01,68430.01,69205.32,-0.011266267182199877,0.001169761623404852,-0.012436028805604729,0.0002606378246222408,0.00025431953111277217
2024-05-29,67868.74,67283.59,67283.59,68430.01,-0.016895097761671318,-0.008659172302384653,-0.008235925459286664,0.00016021045569115054,0.0002169654590143336
2024-05-30,68197.13,68524.0,68524.0,67283.59,0.018267675530751457,0.004781567015709524,0.013486108515041933,0.00018940229937316507,0.00023313281850133603
2024-05-31,68734.67,67753.12,67753.12,68524.0,-0.011313538508230485,-0.014383219504375313,0.003069680996144828,0.00021984266853097194,0.0001808562939684621
2024-06-01,67805.4,67739.64,67739.64,67753.12,-0.0001989774220329992,-0.0009703048545246091,0.0007713274324916099,1.5595923681626207e-05,4.036106204410318e-05
2024-06-02,68033.7,67739.29,67739.29,67739.64,-5.16685509706651e-06,-0.004336804565258123,0.004331637710161057,7.507964365509146e-05,0.00014960349329427218
2024-06-03,69745.97,69180.0,69180.0,67739.29,0.021045437426171005,-0.00814783774547446,0.029193275171645466,0.0002257679948830359,0.00019883184759283585
2024-06-04,69421.1,70373.4,70373.4,69180.0,0.01710354734602108,0.013624494969299952,0.003479052376721128,0.00025425265324213297,0.00021086180837217336
2024-06-05,71002.99,71320.04,71320.04,70373.4,0.01336200299223431,0.0044553650166201065,0.008906637975614203,0.00018580037453596373,0.00017064538351334855
2024-06-06,71090.91,70432.01,70432.01,71320.04,-0.012529506522319312,-0.009311633209705489,-0.0032178733126138233,0.00011457968456840754,0.00013119586298343522
2024-06-07,71340.0,69247.99,69247.99,70432.01,-0.016953727949510285,-0.029763060555296973,0.012809332605786688,0.00030414904154211066,0.00028488689735200817
2024-06-08,69250.94,69447.16,69447.16,69247.99,0.0028720562601921786,0.0028294566530985142,4.259960709366434e-05,1.594613148435722e-05,3.307729250945183e-05
2024-06-09,69461.41,69723.45,69723.45,69447.16,0.003970527440785279,0.0037653565136066157,0.00020517092717866302,3.5940523873980124e-05,4.19562040549843e-05
2024-06-10,69298.49,69463.99,69463.99,69723.45,-0.0037282142775532543,0.0023853721621950714,-0.006113586439748325,9.526866977859781e-05,0.0002717926685110786
2024-06-11,67195.98,67312.93,67312.93,69463.99,-0.031456145787534744,0.0017389187001785663,-0.03319506448771331,0.00024327711680132205,0.0003313599463310384
2024-06-12,69175.0,67469.78,67469.78,67312.93,0.002327450914216825,-0.024959731747434762,0.027287182661651588,0.00040029921042413,0.0005494681196029463
2024-06-13,67996.02,66643.98,66643.98,67469.78,-0.012315073960812285,-0.020084454086686708,0.007769380125874423,0.0002279670124990645,0.0002714721223442378
2024-06-14,67299.93,65504.01,65504.01,66643.98,-0.017253357823442256,-0.027047834389970084,0.009794476566527828,0.000291308815407416,0.00021948687813434892
2024-06-15,66334.56,66135.07,66135.07,65504.01,0.009587803777217898,-0.0030118624291925874,0.012599666206410485,2.1464060749524694e-05,4.795416287230401e-05
2024-06-16,66656.02,66562.52,66562.52,66135.07,0.006442490454664615,-0.001403708753341449,0.007846199208006064,2.3144725075614174e-05,0.00011231836232111075
